X,Y,Name,Description,Date,Zone,Diameter,Length,Image
-74.1759871,40.76902,,,3/26,Zone 4,medium,large,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSKa9DhR4tH8CTFkxDzAf0JjqtzgH2otQsM1xVoCtw0rBBqKx-dSllQeHzn7-P-mJ2gSbxVg15LLaNwP9ptO5F0O9SKE-S2s6-eWes2aQzRCUhZ83Dyms2O1x2XJGiHVzId2fNM24CmSlThUUwXj5jCeB4z9MzFQiax9p9gUqHxvgzB7nu1Qg9Xjqxc5HWiBJAlhMh_ja4vHMGqg9GvpzksraN2NeDYrxz_TjE1ZVm_-utpRLO742XJ0jo?authuser=0&fife=s16383
-74.1761,40.76898,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGT1YfEQJlD7zPAnG4eyn1dMNMSRqGMQ7TG1u7Cr_WQwGEhZde-_MPiVjvEzpLKAEQlECKujTHOlQ1qvp_I15hjMO7ZVhEuSoVe6t2bnrTNBpqVWV2IKDa1JSpnxQ8JFmifd6RmeWG5RdXk-I7F86LVmGMLf1lllPr3T_1syJ4GIz4zdYog3uO7BX_VkZ7ZK2h6IpEqH8vy3__Ac2IYu2OqltuL9oXKggzvVypEN1ho4tUxBrLIRLhEYeW8?authuser=0&fife=s16383
-74.1761,40.76903,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSq83xRmKuNsnp6B0PHnLGqq-bLGIdujeJotwBgg7Y1GCvZBW-guGmhReEi86BiOAs5MMscE2_452y6OKd46Am77SnaOB-p0cu0kMXq2IBVs8UNMPD6tyLxcHMXV4mLfNlfQEBcSV8Tn37R84tyX7znim70ZGGYeC59bDbf9uDatwI2M_3E8c3oQ1n1KL0YGCqR5HPlosv5VtqkAqY6VYQvlYdPY_xAYfT2WwJGvbK3FGhXacGuZKRqsSU?authuser=0&fife=s16383
-74.17613,40.76886,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQWUIKt9ZgIKuLr2laWdaHoUH_tCIedHfVkq_7fvBZ1ns1z1y31TTZ-H5b0yIm04asF9GjVxVEqV7vWAS4ebxplxtejAe1vMREIS05ulgTKfoesIlzPEeYmiFsaOzh99W9gu4ipBLpd-ECuVJfnDONz_4lc0H-8V_JgmoSwsXPmC1nJ5A7T2uCShn5NcSwqH07NTrq2s4urETj_oka5hXaPD351MIy1pO_cp3oXBB9aYtSYKi5ErAPuJNY?authuser=0&fife=s16383
-74.1760698,40.7690437,,,3/26,Zone 4,,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSnj17IWDK8VqY1HiLLNR8XvEjdcVibUETXyBjYHAaSqutY6yqXUdf0Hh2zhBsDtE_tSRlFYdfLgQRc59GMupqc_HMpqZJT7CRoh4GNlba_7ZoSeEEjry0XH1QOXqi-z5sJEDw2CmO7-bvA1buazFBLWZ8pa8GoX_kQfeB3OykwBEbK9dYQeCesyjEvI510cUBUOSSE4FUiS65s-dHZ9PTSOcZ7EKiq4SIj7lZl1-6gVw41nnub9kmHS5E?authuser=0&fife=s16383
-74.17619,40.76898,,,3/26,Zone 4,large,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGTf5qlaLlZSLYNxsDbHU1JunC1BJvSlwiCKGlDA0Ro8JXjrhFzqA9--l7CBy1ez038nll7yMuUo6dADjWwUaqN3vdAChfMkZm1cLyCPWQ6NpwlIDqMOhhsvOn1XE5yl-Ld8LmwNqSrojVUWpO4RVqTiHmzhYhMS2gsTJdG77zQ2U75HSnhGmq20yjxSdYa83GNaqjztdISnUqGt4u4EabTgQrzudqOUogJB1wHT6yODtspI3Y4cdp7046M?authuser=0&fife=s16383
-74.1759,40.7695,,,3/26,Zone 4,medium,large,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQSxAZwY_RnidHaPSNOjs1u_s3S9Q3u2OIdN_P42UFVemA0mDchhnwOzI4jmiyHIZ0FjfsNFDL7X0WHBQMdUg3CxjRdKUT4CGysjGQ3ieiTwqv5H0IiVs_KZSbU1HZeBkNFqwv6VO22i-fnoB-xAt__ohwGdkZRmQ1BDEM5gZdqRq5_TwI353kEET5O1G6QCq-7KRGP88DOMX66Gwzc-HiDz-RfSJbGCUcla0-7eRzB43A9PWPqkAsFctw?authuser=0&fife=s16383
-74.176,40.769,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQJDoajBj7fVh99bMTTRodBYzITeYH0fgmFeGY2AHakC5-R3a7KePxvyIzfTwdd-d4unvBCWNIZFwb_zWA0oFUIQ2-YESQfrttytIphFv7vfuXIg8zdEmfV1LG4Cr0U6msL4DhtVpx2wrqebZQaJjie0gU3prTBUhya1B0Y1fbkmbSHsQ6ns3J0rqNjzHtzbSexLjhBSHJ0cxhYIRUmBdxboLvPrn3w1eZgen2AJVsU6RH1M_wneKK5q60?authuser=0&fife=s16383
-74.17607,40.76899,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQjCyn21NqHNBkpFQxYkzFhdloOtyd7L4UbALrtftyCK5PnHQLJsF21ftqEK6DGbNx-lQYumCWaiFFrYyV4W8E52Y2bXMTKxTysl6Xly7M_igxBY_SxnmgSStDVyuckQX3pr-bNk9C7yOSYFsB2YqkvNX82Gtt_O2m0v8uCY3-ZNLepj5uA_ypXTk2F-AqOwn-qvo4k2ckX5O3Ar6omfsOf-0u5HR3cgjHC35ENbJBdKnqvficEASKvpXo?authuser=0&fife=s16383
-74.17621,40.76896,,,3/26,Zone 4,large,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGS3zThXFyr-kaZ93ggSS_rBbqkJKI-raqFaPEXd-Eff6T8IijEbebxkspzn2MN33oFX7RQXfF51LX8Zu9Q_e_dk9mM20qFzEjCHpJdYmMd4cnv9EoXNtY17D0BL5lY8u625rsriJhdtCIzR9fXo7uj_XUWRrj1v972rt3bR6HK15KTpLvm_wVRLoPp85dYSskHqv-S0K5P63jMINYfo1JS84e0HnCLHHHjMQtqiYy9oTstcfhMr1x7s6iA?authuser=0&fife=s16383
-74.17625,40.7689,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRqdepVHmIAqMYndo_uCVBvkN_ix0I6ihUh0Bq_jRw8eZslgJeQNGjzLn_eUTuEv-IGl4u4bShnaVgk8BNFIxQhyhQwNlA8khqHf3AJf4qnL5qyDVDn12hT8_Zx4ovM27FtjKQsnl_Gh_cYnhNQchItIlpgD4bjBoVw8dzFJkCraNqnk68BCkHMjBXp6HIaPwxfcf_dMNT48ZeFgqnqMbBx1WxRn8julOiW8Kz9Ql6WS66Dcxwumm-aF1c?authuser=0&fife=s16383
-74.17487,40.76896,,,3/26,Zone 4,medium,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRqD_WGSDov_sS1WRh6Ra17ymMVkS8UB4in1HiCYzAmRUYE4T5cTOF5JIIRhdI1_aGE0UKFiXtFigQ0mQ62vAp4FoU6ezUhAytlgdN_J-zVZI7DGNf7SE-xiNhDorlUWbEDU5NPsg1TGMs3oBYvSeqFGozZAKCls5XpaoX5hz1XL1HojZ4C49-LY7kgWBvE4wE92jGOBnVO7jzJpsNTY0Z8jG5xGTFYBlQ2jDP8kZYx7KV6gJCuIrbZWDM?authuser=0&fife=s16383
