X,Y,Name,Description,Date,Zone,Diameter,Length,Image
-74.1759871,40.76902,,,3/26,4,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_1.jpg
-74.1761,40.76898,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_2.jpg
-74.1761,40.76903,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_3.jpg
-74.17613,40.76886,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_4.jpg
-74.1760698,40.7690437,,,3/26,4,,,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_5.jpg
-74.17619,40.76898,,,3/26,4,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_6.jpg
-74.1759,40.7695,,,3/26,4,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_7.jpg
-74.176,40.769,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_8.jpg
-74.17607,40.76899,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_9.jpg
-74.17621,40.76896,,,3/26,4,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_10.jpg
-74.17625,40.7689,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_11.jpg
-74.17487,40.76896,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_12.jpg
-74.17616,40.76894,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_13.jpg
-74.17572,40.76929,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_14.jpg
-74.17484,40.76864,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_15.jpg
-74.176,40.77,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_16.jpg
-74.17608,40.76894,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_17.jpg
-74.17617,40.76888,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_18.jpg
-74.17535,40.7697,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_19.jpg
-74.176,40.76882,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_20.jpg
-74.17608,40.76887,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_21.jpg
-74.17584,40.76934,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_22.jpg
-74.1759893,40.7700091,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_23.jpg
-74.17599,40.76855,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_24.jpg
-74.1762,40.76889,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_25.jpg
-74.17583,40.76937,,,3/26,4,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_26.jpg
-74.174,40.769,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_27.jpg
